Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
1076	6514	167.02563	39	91	1112	1425	-1
1077	3636	158.08696	23	98.5	1125	1425	-1
1078	3525	153.26086	23	1444	1130	1426	-1
1079	1541	154.10001	10	642	1138.5	1427	-1
1080	32742	178.91803	183	1766	1162.5	1436	-1
1081	3100	155	20	1042	1164.5	1442	-1
1082	4513	161.17857	28	1838	1179.5	1444	-1
1083	12588	187.8806	67	806.5	1180.5	1445	-1
1084	6141	157.46153	39	304	1197	1447	-1
1085	21764	164.87878	132	1629	1203.5	1448	-1
1086	2011	154.69231	13	976	1198.5	1449	-1
1087	93778	625.18665	150	657.5	1219.5	1452	-1
1088	27949	198.21986	141	1405.5	1225	1456	-1
1089	6885	172.125	40	1398	1231	1456	-1
1090	2025	168.75	12	1404	1269.5	1456	-1
1091	4823	155.58064	31	412.5	1244	1461	-1
1092	17244	162.67924	106	1190	1280	1468	-1
1093	1779.0001	161.72728	11	1174.5	1290.5	1468	-1
1094	3784	180.19048	21	1182	1296.5	1468	-1
1095	6062.0005	163.83784	37	279	1276.5	1469	-1
1096	18457	361.90195	51	257.5	1293	1469	-1
1097	12709	244.40384	52	2045.5	1286.5	1470	-1
1098	3593	156.21739	23	1814	1333	1473	-1
1099	32304	191.14793	169	1592	1347	1485	-1
1100	10879	197.8	55	1574.5	1365.5	1485	-1
1101	10797	179.95	60	879	1356	1486	-1
1102	1735.0001	157.72728	11	891.5	1353.5	1486	-1
1103	1591	159.10001	10	884.5	1368	1486	-1
1104	2157	165.92308	13	258	1394	1487	-1
1105	5938	164.94444	36	1069.5	1391	1490	-1
1106	37310	243.85622	153	1801.5	1397.5	1494	-1
1107	65290	362.72223	180	1780	1400.5	1494	-1
1108	11300	179.36508	63	1223.5	1425	1500	-1
1109	1672	167.2	10	1192	1440.5	1500	-1
