Object ID	Elongation Factor 	Circularity 	Mean Intensity DAPI	Total Intensity DAPI	Total Intensity telo 550	Mean Intensity telo 550	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	telo550_spots  Counts 	53bp1_spots  Counts 	Well 	Center X 	Center Y 	Area 	total_intensity_telo 	total_intensity_bp1 	mean-550-withoutspots 	total_area_telo 	area_dif_telo 	int_dif_telo 	mean-53bp1-withoutspots 	int_dif_telo 	area_dif_telo 	Parent Object ID (Well)	Parent Trace ID
136	1.7401075	0.96992873	309.80655	632625	100311	49.123898	247145	121.03085	1	3	6	463.5	829	2042	12371	83034	44.913177	84	1958	87940	86.693608	234774	1893	5	-1
137	1.6835507	0.9427006	291.00568	565133	61760	31.802265	303187	156.121	1	0	6	933	830.5	1942	8346	0	28.231501	50	1892	53414	156.12101	294841	1942	5	-1
138	1.8976937	0.96613259	326.63403	550705	39657	23.521353	194968	115.63938	0	0	6	1746	828	1686	0	0	23.521352	0	1686	39657	115.63938	194968	1686	5	-1
139	2.0478548	0.93889845	627.4837	1866764	116996	39.326385	341233	114.70016	0	0	6	552	848	2975	0	0	39.326387	0	2975	116996	114.70017	341233	2975	5	-1
140	1.8619934	0.91608445	634.3725	1096830	107428	62.133026	66319	38.356853	1	0	6	1880.5	852.5	1729	23461	0	50.129552	54	1675	83967	38.356854	42858	1729	5	-1
141	1.5389785	0.9717414	403.32794	597732	77731	52.450066	252312	170.25101	0	1	6	642.5	849.5	1482	0	1802	52.450067	0	1482	77731	170.29912	252312	1471	5	-1
142	2.4854233	0.89930648	389.79391	1087525	54751	19.624014	341700	122.47312	3	5	6	748	853	2790	3801	26717	18.65617	59	2731	50950	118.99622	337899	2647	5	-1
143	1.5787166	0.96905584	199.336	497742	63177	25.301161	182897	73.246696	0	1	6	2020.5	858	2497	0	24291	25.301161	0	2497	63177	67.149026	182897	2362	5	-1
144	1.4484018	0.96702939	557.75049	607948.06	50328	46.172478	149267	136.9422	2	1	6	1058.5	850	1090	6796	2590	42.223084	59	1031	43532	136.44372	142471	1075	5	-1
145	1.8334188	0.96520187	277.47916	539142	44669	22.989706	293035	150.81575	1	0	6	1651.5	862.5	1943	1669	0	22.314478	16	1927	43000	150.81575	291366	1943	5	-1
146	1.6177317	0.98131645	428.62552	739379	44927	26.044638	271678	157.49449	1	0	6	1348.5	863	1725	5097	0	23.807531	52	1673	39830	157.49449	266581	1725	5	-1
