Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Parent Object ID (MO)	Parent Trace ID
517	58309	694.15479	84	668	-1
518	63026	543.32758	116	669	-1
519	3684.0002	160.17392	23	671	-1
520	14081	167.63095	84	671	-1
521	11531	162.40845	71	671	-1
522	77798	498.70514	156	673	-1
523	3303.0002	157.28572	21	673	-1
524	9361	228.31708	41	674	-1
525	30936.002	332.64517	93	675	-1
526	3209	200.5625	16	675	-1
527	4095	195	21	676	-1
528	15151	184.7683	82	676	-1
529	1568	156.8	10	677	-1
530	31795	327.78351	97	677	-1
531	4115	158.26923	26	681	-1
532	13981	158.875	88	686	-1
533	2445	188.07692	13	687	-1
534	30862	169.57143	182	689	-1
535	14596	164	89	694	-1
536	13246	159.59036	83	694	-1
537	2615	174.33333	15	695	-1
538	1970	179.09091	11	697	-1
539	25646.998	328.80768	78	698	-1
540	23223	169.51096	137	700	-1
541	24815	169.96576	146	701	-1
542	10798	158.79411	68	702	-1
543	28539	162.15341	176	702	-1
544	2628	154.58824	17	704	-1
545	10978	171.53125	64	704	-1
546	1678	152.54546	11	704	-1
547	2124	163.38461	13	705	-1
548	8249	179.32608	46	705	-1
549	5628	156.33333	36	706	-1
550	10712	175.60655	61	706	-1
551	2038	156.76923	13	706	-1
552	3978	159.12	25	712	-1
553	3092	162.73685	19	718	-1
554	1702.0001	154.72728	11	719	-1
555	5373	173.32259	31	719	-1
556	4153	159.73077	26	719	-1
557	2473	190.23077	13	724	-1
558	13140	196.1194	67	725	-1
559	35585	248.84616	143	725	-1
560	1707	155.18182	11	725	-1
561	3923	217.94444	18	726	-1
562	2051	157.76923	13	726	-1
563	45254	240.71277	188	726	-1
564	5277	195.44444	27	726	-1
565	7989	185.7907	43	728	-1
566	25596	170.64	150	731	-1
567	14173	159.24719	89	732	-1
568	19020	196.08247	97	733	-1
569	15370	202.23685	76	733	-1
570	8668	247.65715	35	733	-1
571	11014	152.97223	72	734	-1
572	1970.0001	151.53847	13	734	-1
573	10051	152.28787	66	734	-1
574	5219	158.15152	33	734	-1
575	10199	254.97501	40	735	-1
576	8561	199.09302	43	735	-1
577	22797	288.56961	79	735	-1
578	4011	160.44	25	736	-1
579	5178	156.90909	33	736	-1
580	3830	166.52174	23	736	-1
581	2353	168.07143	14	736	-1
582	6473	157.87805	41	737	-1
583	9518	161.32204	59	737	-1
584	7924	158.48	50	737	-1
585	5073	163.64516	31	737	-1
586	2599	152.88235	17	737	-1
587	3871	161.29167	24	739	-1
588	35355	215.57927	164	740	-1
589	14833	187.75949	79	740	-1
590	31026	178.31035	174	741	-1
591	12227	194.07936	63	748	-1
592	15775	157.75	100	750	-1
593	2326	155.06667	15	751	-1
594	27294	401.38235	68	752	-1
595	2694	168.375	16	753	-1
596	42591	405.62857	105	756	-1
597	19152	160.94118	119	757	-1
598	13977	179.19231	78	761	-1
599	9532	164.34483	58	761	-1
600	28497	179.22641	159	763	-1
601	13644.001	158.65117	86	765	-1
602	2026.0001	155.84616	13	765	-1
603	1677	167.7	10	767	-1
604	18765	160.38461	117	768	-1
605	7157	178.925	40	769	-1
606	2964	156	19	769	-1
607	7159	204.54286	35	770	-1
608	11125	158.92857	70	770	-1
609	6264	156.60001	40	770	-1
610	4355	155.53572	28	770	-1
611	1583	158.3	10	772	-1
612	53824	522.56311	103	774	-1
613	1803	163.90909	11	774	-1
614	80441	406.26767	198	778	-1
615	7436	158.21277	47	779	-1
616	4188	155.11111	27	781	-1
617	1582	158.2	10	781	-1
618	43921	228.7552	192	782	-1
619	6523	159.09756	41	783	-1
620	2937	154.57895	19	783	-1
621	68617	536.07031	128	785	-1
622	5513	157.51428	35	786	-1
623	24676	161.28105	153	790	-1
624	2855	158.61111	18	790	-1
625	11418	200.3158	57	790	-1
626	2163	154.5	14	791	-1
627	20484	169.28926	121	792	-1
628	4949	260.47369	19	793	-1
629	29832	169.5	176	793	-1
630	77130	428.5	180	798	-1
631	8387	220.71053	38	799	-1
632	35430	182.62886	194	799	-1
633	11175	186.25	60	799	-1
634	63673	393.04321	162	800	-1
635	1846	153.83333	12	801	-1
636	5928	156	38	801	-1
637	8938	165.51852	54	802	-1
638	2986	165.88889	18	802	-1
639	7209	240.3	30	803	-1
640	11573	156.39189	74	805	-1
641	2584	152	17	805	-1
642	2465	154.0625	16	807	-1
643	2605	153.23529	17	809	-1
644	3313	157.7619	21	809	-1
645	37374	336.7027	111	811	-1
646	96155.992	572.35712	168	814	-1
647	29711	178.98193	166	816	-1
648	5893	155.07895	38	816	-1
649	24697	170.32414	145	821	-1
650	2313	154.2	15	822	-1
651	3977	165.70833	24	825	-1
652	15155	162.95699	93	827	-1
653	7340	262.14285	28	828	-1
654	2260	188.33333	12	830	-1
655	7147	166.2093	43	833	-1
656	111803	564.66162	198	835	-1
657	7437	154.9375	48	836	-1
658	2820	156.66667	18	836	-1
659	2433	152.0625	16	836	-1
660	2148	165.23077	13	836	-1
661	37463	520.31946	72	840	-1
662	2699	168.6875	16	840	-1
663	2808	156	18	845	-1
664	31700	396.25	80	848	-1
665	21185	169.48	125	852	-1
666	10776	153.94286	70	852	-1
667	4767	158.89999	30	852	-1
668	1678	167.8	10	858	-1
669	2673	190.92857	14	858	-1
670	83661	648.53491	129	861	-1
671	17824	181.87755	98	863	-1
672	81908	462.75705	177	866	-1
673	4497	249.83333	18	866	-1
674	1762	160.18182	11	867	-1
675	2319	154.60001	15	872	-1
676	6817	166.2683	41	872	-1
677	1709	155.36363	11	874	-1
678	13525	173.39743	78	879	-1
679	1865	155.41667	12	879	-1
680	3215	160.75	20	882	-1
681	10546	195.2963	54	882	-1
682	6110	179.70589	34	882	-1
683	16548	209.46835	79	882	-1
684	3183	198.9375	16	882	-1
685	1751.9999	159.27272	11	890	-1
686	7729.9995	171.77777	45	892	-1
687	8956	165.85185	54	894	-1
688	5405	207.88461	26	894	-1
689	5066	230.27272	22	895	-1
690	5843	224.73077	26	895	-1
691	8718	155.67857	56	896	-1
692	6327	158.175	40	897	-1
693	78158	451.78033	173	899	-1
694	28121	173.58643	162	901	-1
695	16890	187.66667	90	904	-1
696	2855	167.94118	17	905	-1
697	7014	175.35001	40	905	-1
698	17215	168.77451	102	908	-1
699	30367	228.3233	133	909	-1
700	2175	155.35715	14	915	-1
701	6771	270.84	25	917	-1
702	5410	159.11765	34	917	-1
703	8414	164.98039	51	917	-1
704	18463	182.80199	101	917	-1
705	7168	174.82927	41	917	-1
706	2708	159.29411	17	917	-1
707	12374	224.98181	55	917	-1
708	3723.9998	169.27272	22	917	-1
709	4031.0002	161.24001	25	917	-1
710	2502	166.8	15	917	-1
711	2599	162.4375	16	917	-1
712	19537	164.17647	119	920	-1
713	4501	214.33333	21	924	-1
714	100939	664.07239	152	928	-1
715	5687	172.33333	33	928	-1
716	4148	153.62962	27	929	-1
717	93370	587.23273	159	933	-1
718	7610	155.30612	49	934	-1
719	60493	499.94214	121	935	-1
720	55274	552.73999	100	938	-1
721	5877	178.09091	33	940	-1
722	6288	157.2	40	944	-1
723	6914	172.85001	40	944	-1
724	1555	155.5	10	944	-1
725	62468	718.02301	87	945	-1
726	4541	162.17857	28	946	-1
727	1698	154.36363	11	946	-1
728	3490	158.63637	22	946	-1
729	2324	154.93333	15	947	-1
730	2446	188.15384	13	948	-1
731	1762.9999	160.27272	11	951	-1
732	1594	159.39999	10	953	-1
733	6554	211.41936	31	953	-1
734	2001	181.90909	11	954	-1
735	11903	160.85135	74	954	-1
736	4647	160.24138	29	954	-1
737	11154	166.47762	67	954	-1
738	7762	161.70833	48	954	-1
739	5788	214.37038	27	960	-1
740	16436	219.14667	75	960	-1
741	2025	155.76923	13	960	-1
742	1926	192.60001	10	960	-1
743	5326	183.65517	29	962	-1
744	35494	183.90674	193	964	-1
745	7537	171.29546	44	975	-1
746	20193.998	154.15266	131	978	-1
747	1568	156.8	10	978	-1
748	21387	158.42223	135	979	-1
749	2486	155.375	16	984	-1
750	6696	159.42857	42	984	-1
751	18118	170.92453	106	985	-1
752	2208	184	12	988	-1
753	9664	166.6207	58	988	-1
754	3734	162.34782	23	989	-1
755	72490	364.27136	199	991	-1
756	1905	158.75	12	996	-1
757	29075.998	164.27118	177	996	-1
758	42966	277.20001	155	999	-1
759	95921	648.11487	148	1001	-1
760	18190	395.43478	46	1002	-1
761	27184	165.7561	164	1002	-1
762	8686	163.8868	53	1002	-1
763	1942	161.83333	12	1002	-1
764	3264	155.42857	21	1003	-1
765	12472	183.41176	68	1003	-1
766	1892	172	11	1004	-1
767	110117	710.43225	155	1007	-1
768	1746.0001	158.72728	11	1011	-1
769	6941.9995	157.77272	44	1011	-1
770	8304	230.66667	36	1011	-1
771	1769	160.81818	11	1012	-1
