Object ID	Total Intensity telo 550	Mean Intensity telo 550	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
473	7861.0005	170.89131	46	1479.5	232	396	-1
474	8731	155.91072	56	1464	241	396	-1
475	21989	222.11111	99	1503	248	396	-1
476	1812	69.692307	26	1466.5	249	396	-1
477	779	77.900002	10	1497	257	396	-1
478	2860	92.258064	31	525	259.5	398	-1
479	2387	79.566666	30	110	268	399	-1
480	2530	110	23	1538	292.5	401	-1
481	8408	161.69231	52	1499.5	315.5	401	-1
482	2329	129.38889	18	294	294	403	-1
483	688	57.333332	12	263	302.5	403	-1
484	5352	133.8	40	251	304.5	403	-1
485	11703	234.06	50	830	321	405	-1
486	14254	229.90323	62	1019	287	406	-1
487	14777	217.30882	68	1034.5	293	406	-1
488	1905	82.826088	23	1026.5	295.5	406	-1
489	3570	123.10345	29	1044	306.5	406	-1
490	17455	200.63219	87	1631	312	407	-1
491	2344	80.827583	29	1180	309	408	-1
492	1579	98.6875	16	1177	320	408	-1
493	23607.002	287.89026	82	1191	324	408	-1
494	942	78.5	12	1208	321	408	-1
495	1707	113.8	15	1181	331.5	408	-1
496	7800	222.85715	35	1313.5	339.5	410	-1
497	2075	103.75	20	714.5	336	411	-1
498	1990.9999	76.57692	26	280.5	339.5	413	-1
499	932	62.133335	15	292	346	413	-1
500	1426	89.125	16	275.5	370.5	413	-1
501	3690.0002	131.78572	28	1366.5	346.5	414	-1
502	5369	153.39999	35	1366	358.5	414	-1
503	3061	133.08696	23	1380	360	414	-1
504	1962	103.26316	19	1341.5	361.5	414	-1
505	2716	108.64	25	1374.5	363.5	414	-1
506	1425	71.25	20	386.5	372	415	-1
507	10781	158.54411	68	226.5	394.5	416	-1
508	1177	98.083336	12	1247	382.5	418	-1
509	912	70.153847	13	1251.5	392.5	418	-1
510	1219	81.26667	15	1240	394.5	418	-1
511	932	84.727272	11	29.5	413.5	419	-1
512	710	64.545456	11	961	391	420	-1
513	3729	113	33	1117	402	421	-1
514	24001	269.67416	89	1131.5	435.5	421	-1
515	6862.0005	134.54903	51	308	455.5	423	-1
516	964	74.153847	13	280	459	423	-1
517	2397	95.879997	25	295	460	423	-1
518	6188	147.33333	42	834.5	495.5	425	-1
519	1900	100	19	1398.5	448	427	-1
520	11612	241.91667	48	1387	453	427	-1
521	1224	72	17	444.5	475.5	428	-1
522	848	84.800003	10	951.5	472	429	-1
523	1222	76.375	16	1279.5	461.5	430	-1
524	725	65.909088	11	1298.5	467.5	430	-1
525	1996	110.88889	18	1286	470.5	430	-1
526	3604	124.27586	29	1287	481	430	-1
527	1225	94.230766	13	1292.5	490	430	-1
528	37077	386.21875	96	1302.5	498	430	-1
529	2994	115.15385	26	1292.5	503	430	-1
530	1580	87.777779	18	1622	473	431	-1
531	1839	102.16666	18	1615	481.5	431	-1
532	1397	127	11	1645	502	431	-1
533	9713	206.65958	47	719.5	481.5	433	-1
534	7060	164.18605	43	1550.5	490	434	-1
535	21017	333.60318	63	1571.5	497.5	434	-1
536	848	60.57143	14	7	481	435	-1
537	829	59.214287	14	205	488.5	436	-1
538	715	55	13	191	490.5	436	-1
539	7298	243.26666	30	1128.5	491	437	-1
540	999.99994	66.666664	15	385	514.5	439	-1
541	3130	72.790695	43	298	525.5	440	-1
542	3187	151.7619	21	1030	519	442	-1
543	3147	82.815788	38	1071.5	529	443	-1
544	3040	178.82353	17	1054.5	548.5	443	-1
545	3667.0002	141.03847	26	1254.5	535.5	446	-1
546	1841.9999	96.947365	19	1356.5	559.5	447	-1
547	703	63.909092	11	1366	575	447	-1
548	15315.001	172.07866	89	114	580	450	-1
549	1068	106.8	10	936	562.5	451	-1
550	2514	100.56	25	938	570	451	-1
551	19258	223.93024	86	951	584	451	-1
552	10755	185.43103	58	897	585.5	451	-1
553	10287	209.93878	49	924.5	609.5	451	-1
554	792	56.57143	14	236	577.5	453	-1
555	1667	92.611115	18	1433	583	454	-1
556	6320	110.87719	57	1430	595	454	-1
557	1827	130.5	14	1465.5	600	454	-1
558	8934	194.21739	46	1116	601	455	-1
559	10102	162.93549	62	752.5	605.5	456	-1
